"%s was added to your shopping cart.","%s ditambahkan pada cart Anda."
"%s was updated in your shopping cart.","%s diperbarui pada cart Anda."
"(Excl. Tax)","(Diluar Tax)"
"(Incl. Tax)","(Termasuk Tax)"
"* Required Fields","* Dibutuhkan bidang"
"Add New Address","Tambahkan alamat baru"
"Add New Condition","Tambahkan kondisi baru"
"Add coupon code for shopping cart","Tambahakan kode kupon untuk cart"
"Add gift messages to shopping cart","Tambahkan pesan hadiah untuk cart"
"Add product to shopping cart","Tambahkan produk ke cart"
"Add product(s) to shopping cart","Tambahkan produk ke cart"
"Add to Cart","Tambahkan ke keranjang"
"Add to Compare","Tambahkan ke perbandingan"
"Add to Wishlist","Tambahkan ke daftar yang diinginkan"
"Additional Product Info","Info produk tambahan"
"Address","Alamat"
"Address %s of %s","Alamat %s dari%s"
"After Adding a Product Redirect to Shopping Cart","Setelah menambahkan sebuah produk akan langsung dihubungkan pada keranjang belanja"
"Allow Guest Checkout","Ijinkan Checkout tamu"
"Already registered?","Sudah terdaftar?"
"An error occurred in the process of payment","error terjadi pada saat proses pembayaran"
"An error occurred while deleting this condition.","Error terjadi ketika menghapus kondisi ini."
"An error occurred while saving this condition.","Error terjadi ketika menyimpan kondisi ini."
"Apply","Terapkan"
"Apply Coupon","Berlaku Kupon"
"Are you sure you want to leave this page? You will need to go through the checkout steps again.","Are you sure you want to leave this page? You will need to go through the checkout steps again."
"Are you sure you would like to remove this item from the shopping cart?","Apakah Anda yakin ingin menghapus item ini dari keranjang belanja?"
"Back","Kembali"
"Back to Billing Information","Kembali ke informasi tagihan"
"Back to Select Addresses","Kembali untuk memilih alamat"
"Back to Shipping Information","Kembali ke informasi pengiriman"
"Back to Shopping Cart","Kembali kekernjang belanja"
"Based on your selection, you may be interested in the following items:","Berdasarkan pilihan Anda, Anda mungkin tertarik pada item dibawah ini:"
"Billing Address","Alamat tagihan"
"Billing Information","Informasi tagihan"
"Billing Information - %s","Informasi tagihan - %s"
"Can not remove the item.","Can not remove the item."
"Can not save item.","Can not save item."
"Cancel","Batal"
"Cancel Coupon","Kupon pembatalan"
"Cannot add item to the shopping cart.","Tidak dapat menambahkan item ke keranjang belanja"
"Cannot add the item to shopping cart","Tidak dapat menambahkan item ke keranjang belanja"
