 was not delivered nor scanned," tidak dikirimkan atau dipindai"
1 Day Freight,"Kargo 1 Hari"
2 Day Freight,"Kargo 2 Hari"
2Day,"2Hari"
2nd Day Air,"Penerbangan Hari ke 2"
2nd Day Air AM,"Penerbangan Hari ke 2 AM"
2nd Day Air AM Letter,"Penerbangan Hari ke 2 surat AM"
2nd Day Air Letter,"Penerbangan Hari ke 2 surat AM"
3 Day Freight,"Kargo 3 Hari"
3 Day Select,"Pilih 3 hari"
Access ID,"ID Akses"
Access license number,"Nomer surat ijin"
Account ID,"Id Akun"
Account number,"Nomer Akun"
Additional Protection Configuration Value,"Perlindungan Tambahan Nilai Konfigurasi"
Additional Protection Enabled,"Perlindungan Tambahan Aktif"
Additional Protection Min Subtotal,"Perlindungan tambahan Min Subtotal"
Additional Protection Value,"Nilai perlindungan tambahan"
Additional Protection Value Rounding Method,"Perlindungan Tambahan Nilai Metode Pembulatan"
All Services,"Semua Layanan"
Allowed methods,"Metode yang diperbolehkan"
Bound Printed Matter,"Batasan Barang Dicetak"
Business Service Center,"Pusat Pelayanan Bisnis"
Calculate Handling Fee,"Biaya Penanganan"
Canada Standard,"Standar Kanada"
Cannot retrieve shipping rates,"Tidak dapat menerima biaya pengiriman"
Commercial,"Komersial"
Configuration,"Konfigurasi"
Container,"Kontener"
Customer Packaging,"Paket pelanggan"
DHL,"DHL"
Default Package Height,"Tinggi paket standar"
Default Package Length,"Panjang paket standar"
Default Package Width,"Lebar paket standar"
Delivered,"Terkirim"
Destination type,"Tipe tujuan"
Displayed Error Message,"Pesan Kesalahan yang Tampil"
Domestic Shipment Days,"Hari Pengiriman Domestik "
Drop Box,"Kotak Masukan"
Dropoff,"Menurunkan"
Empty response,"Respon kosong"
Enable Negotiated Rates,"Tarif negosiasi aktif"
Enabled,"Aktif"
Error #%s : %s (%s),"Galat #%s : %s (%s)"
Error #%s: %s,"Galat #%s: %s"
Europe First Priority,"Prioritas Utama Eropa"
Express,"Ekspress"
Express 10:30 AM,"Ekspress 10:30 AM"
Express Mail,"Surat Ekspress"
Express Saturday,"Ekspress Sabtu"
Express Saver,"Ekspress Hemat"
FedEx,"FedEx"
FedEx 10kg Box,"FedEx Kotak 10kg"
FedEx 25kg Box,"FedEx Kotak 25kg"
FedEx Box,"FedEx Kotak"
FedEx Envelope,"FedEx Amplop"
FedEx Pak,"FedEx Pak"
FedEx Tube,"FedEx Tube"
First Overnight,"Semalam"
First-Class,"Kelas Utama"
Flat,"Rata"
Flat-Rate Box,"Box Tarif rata"
Flat-Rate Envelope,"Amplop tarif rata"
Free method,"Metode gratis"
Free shipping with minimum order amount,"Pengiriman gratis dengan pembelian tertentu"
Gateway URL,"Gateway URL"
Gateway XML URL,"Gateway XML URL"
Ground,"Darat"
Ground Commercial,"Lapangan komersial"
Ground Residential,"lapangan Residensial"
Handling Applied,"Penanganan Ditetapkan"
Handling fee,"Biaya Penanganan"
Home Delivery,"Pengiriman ke Rumah"
International Economy,"International Ekonomi"
