(eg: domain.com/identifier),(cth: domain.com/pengenal)
Action,Aksi
Add New Block,Tambah Blok Baru
Add New Page,Tambah Halaman Baru
All countries,Semua Negara
Block Information,Informasi Blok
Block Title,Judul Blok
Block was successfully deleted,Blok berhasil dihapus
Block was successfully saved,Blok berhasil disimpan
CMS,CMS
CMS Content Wrapper,CMS Content Wrapper
CMS Home Page,CMS Beranada
CMS No Cookies Page,CMS Tidak Halaman Cookie
CMS No Route Page,CMS Tidak ada jalur halaman
CMS No-Route Page,CMS Tidak ada jalur halaman
CMS Page,CMS halaman
CMS Page Link,CMS Tautan halaman
CMS Page Link Block Template,CMS Halaman menghubungkan Kerangka Blok
CMS Page Link Inline Template,CMS Halaman menghubungkan Kerangka Sejajar
CMS Pages (All),CMS Halaman (semua)
CMS Static Block,CMS Blok Statis
CMS Static Block Default Template,CMS Blok Statis Kerangka Standar
Cannot create new directory.,Tidak bisa membuat direktori baru.
Cannot delete directory %s.,Tidak dapat menghapus direktori %s.
Cannot delete root directory %s.,Tidak dapat menghapus sumber direktori %s.
Cannot upload file.,Tidak dapat mengunggah berkas
Collapse All,Tutup semua
Content,Isi
Content Heading,Isi Judul
Content Management,Pengelolaan isi
Contents of a Static Block,Isi dari sebuah blok statis
Create Folder...,Membuat Folder…
Custom Design,Desain khusus
Custom Design From,Desain khusus dari
Custom Design To,Desain khusus ke
Custom Layout,Tampilan khusus
Custom Layout Update XML,Perbaruan tampilan khusus XML
Custom Theme,Tema khusus
Customer Tax Class Information,Informsi Kelompok pajak pelanggan
Date Created,Tanggal dibuat
Delete Block,Hapus Blok
Delete File,Hapus Berkas
Delete Folder,Hapus Folder
Delete Page,Hapus Halaman
Description,Deskripsi
Design,Desain
Disabled,Non Aktif
Disabled Completely,Non Aktif keseluruhan
Disabled by Default,Non aktif oleh standar
Edit Block,Sunting Blok
Edit Block '%s',sunting Blok '%s'
Edit Page,Sunting halaman
Edit Page '%s',Sunting Halaman '%s'
Enable WYSIWYG Editor,Aktifkan WYSIWYG Editor
Enabled,Aktifkan WYSIWYG Editor
Enabled by Default,Aktifkan oleh standar
Expand All,Perluas semua
General Information,Informasi umum
Go to Home Page,Pergi ke beranda
Home,Beranda
ID,ID
Identifier,Pengenal
"If empty, the Page Title will be used","Jika kosong, Judul Halaman akan digunakan"
Images (%s),Gambar (%s)
Insert File,Masukan Berkas
"Invalid folder name. Please, use alphanumeric characters, underscores and dashes.","Nama folder tidak valid. Silahkan, menggunakan karakter alfanumerik, garis bawah dan garis."
Keywords,Kata kunci
Last Modified,terakhir Diubah
Layout,Tampilan khusus
Layout Update XML,Perbaruan Tampilan XML
Link to a CMS Page,Tautan ke halaman CMS
Manage Pages,Kelola Halaman
Media Gallery,Media Galeri
Media Storage,Media Penyimpanan
Meta Data,Meta Data
Meta Description,Deskripsi Meta
Meta Keywords,Meta Kata sandi
New Block,Blok baru
New Folder Name:,Nama Folder Baru:
New Page,Halaman Baru
No files found,Tidak ada Berkas di temukan
Page Information,Informasi Halaman
Page Layout,Tampilan Halaman
Page Status,Status Halaman
Page Title,Judul Halaman
Pages,Halaman
Product Tax Class Information,Informsi Tingkatan Pajak Produk
Redirect to CMS-page if Cookies are Disabled,Mengarahkan ke halamana CMS jika cookie non aktif
Relative to Website Base URL,Sehubungan dengan URL Situs Web Dasar
Save Block,Simpan blok
Save Page,simpan Halaman
Save Process,Sipman Proses
Select Block...,Pilih Blok…
Select Page...,Pilih Halaman…
Show Breadcrumbs for CMS Pages,Tampilkan Breadcrumbs untuk Halaman CMS
Show Notice if JavaScript is Disabled,Tampilkan pemberitahuan jika JavaScript Dinonaktifkan
Static Blocks,Blok statis
Status,Status
Store View,Tampilan Toko
Template,Kerangka
The block has been deleted.,Blok telah di hapus
The block has been saved.,Blok telah di hapus
The directory %s is not writable by server.,direktori %s tidak dapat ditulis oleh server.
The page URL key cannot consist only of numbers.,Kunci URL halaman tidak bisa hanya terdiri dari angka.
The page URL key contains capital letters or disallowed symbols.,Kunci URL halaman berisi huruf atau simbol batasan.
The page has been deleted.,Halaman Telah Di hapus
The page has been saved.,Halaman telah di simpan
This block no longer exists.,Blok ini tidak ada
This page no longer exists.,Halaman ini tidak ada
Title,Judul
URL Key,kunci URL
Unable to find a block to delete.,Tidak dapat menemukan Blok untuk di hapus
Unable to find a page to delete.,Tidak dapat menemukan halaman untuk di hapus
WYSIWYG Options,pilihan WYSIWYG
px.,px.
