(Make sure you keep it in a safe place.),(Pastikan anda menyimpannya ditempat yang aman.)
(Optional. Leave blank for no prefix),(Opsional.)
(ver. %s),(ver. %s)
"Additional path added after Base URL to access your Administrative Panel (e.g. admin, backend, control etc.).","Jalur adisional di tambahkan setelah dasar URL untuk mengakses panel administratif Anda (con. admin, backend, control dll.)."
Admin Path,Jalur Admin
After successfull installation please click the button below.,Setelah instalasi berhasil silahkan klik tombol dibawah ini.
"All packages were installed successfully, click 'Ok' to continue with installation","Semua paket berhasil diinstal, klik 'Ok' untuk melanjutkan instalasi"
Alternatively you could try the 'Manual Downloads and Upgrades' method.,Sebagai alternatif Anda bisa mencoba 'Unduhan Manual dan Peningkatan' metode.
Base URL,Dasar URL
"Before you continue to your store, please make a note of your encryption key (Magento uses it to encrypt passwords, credit cards and more).","Sebelum Anda melanjutkan ke toko Anda, silakan membuat catatan dari kunci enkripsi Anda (Magento menggunakan untuk mengenkripsi password, kartu kredit dan lebih)."
Check out our,Lihat kami
Check this box only if it is not possible to automatically validate Base URL.,Centang kotak ini jika tidak mungkin untuk secara otomatis memvalidasi Basis URL.
"Check this box only if it is not possible to automatically validate Secure URL, for example if HTTP authentication is required.","Centang kotak ini jika tidak mungkin untuk secara otomatis memvalidasi Keamanan URL, misalnya jika otentikasi HTTP diperlukan."
Choose this if you would like to test frontend and backend functionality.,Pilih ini jika Anda ingin menguji fungsionalitas ujung depan dan dan ujung belakang.
Configuration,Konsfigurasi
Confirm Password,Konfirmasi kata sandi
Connection,Koneksi
Continue,Lanjutkan
Continue After Manual Download,Lanjutkan setelah unduhan manual
Continue Full Download / SVN Installation,Lanjutkan unduhan penuh/ Instalasi SVN
Create Admin Account,Membuat akun admin
Currently this is the most stable state available for Magento packages.,Saat ini adalah keadaan paling stabil yang tersedia untuk paket Magento.
Database,Basis data
Database Connection,Koneksi basis data
Database Name,Nama Basis data
Database Name cannot be empty.,Nama basis data tidak bisa kosong
Database connection error.,Koneksi basis data galat.
Database host,Host basis data
Database server does not support InnoDB storage engine,Server basis data tidak mendukung  InnoDB mesin penyimpan
"Database server version does not match system requirements (required: %s, actual: %s)","Versi server basis data tidak sesuai sistem yang dibutuhkan (dibutuhkan: %s, aktual: %s)"
Database user name,Nama Pengguna Basis data
Database user password,Kata sandi pengguna Basis data
Default Currency,Kurs standar
Download,Unduh
