"%1$s has been added to your wishlist. Click  <a href=""%2$s"">here</a>to continue shopping","%1$s  Telah ditambahkan ke daftar keinginan Anda. Klik <a href=""%2$s"">here</a> untuk melanjutkan belanja"
%1$s has been updated in your wishlist.,%1$s Telah diperbarui ke daftar keinginan Anda.
%d product(s) have been added to shopping cart: %s.,%d produk telah ditambahkan ke keranjang belanja: %s.
"%s for ""%s"".","%s untuk""%s""."
%s's Wishlist,%s's Daftar keinginan
* Required Fields,* Dibutuhkan bidang
Add All to Cart,Tambah semua ke keranjang
Add to Cart,Tambah ke keranjang
Add to Compare,Tambah untuk membandingkan
Add to Wishlist,Tambah ke daftar keinginan
Added From,Ditambahkan dari
Added On,Ditambahkan pada
An error occurred while adding item to wishlist.,Galat terjadi ketika menambahkan barang ke daftar keinginan.
An error occurred while adding item to wishlist: %s,Galat terjadi ketika menambahkan barang ke daftar keinginan.: %s
An error occurred while deleting the item from wishlist.,Galat terjadi ketika menghapus barang dari daftar keinginan.
An error occurred while deleting the item from wishlist: %s,Galat terjadi ketika menghapus barang dari daftar keinginan.: %s
An error occurred while updating wishlist.,Galat terjadi ketika memperbarui daftar keinginan
Are you sure you want to remove this product from your wishlist?,Apakah Anda yakin ingin menghapus produk ini dari daftar keinginan Anda?
Are you sure you would like to remove this item from the wishlist?,Apakah Anda yakin ingin menghapus produk ini dari daftar keinginan Anda?
Back,Kembali
Can\'t delete item from wishlist,Tidak/dapat menghapus item dari daftar keinginan
Can\'t save description %s,Tidak/dapat menyimpan deskripsi %s
Can\'t update wishlist,Tidak/ Dapat memperbarui daftar keinginan
Cannot add item to shopping cart,Tidak dapat menambah item ke keranjang belanja
Cannot add the item to shopping cart.,Tidak dapat menambah item ke keranjang belanja
Cannot configure product,Tidak dapat mengkonfigurasi produk
Cannot create wishlist.,Tidak dapat membuat daftar keinginan
Cannot load wishlist item,Tidak dapat memuat item daftar keinginan
Cannot specify product.,Tidak dapat menentukan produk
Cannot specify wishlist item.,Tidak dapat menentukan item daftar keinginan
Cannot specify wishlist.,Tidak dapat menentukan daftar keinginan.
Cannot update wishlist,Tidak dapat memperbarui daftar keinginan.
Check this checkbox if you want to add a link to an rss feed to your wishlist.,Periksa kotak centang ini jika Anda ingin menambahkan sebuah link ke feed rss ke daftar keinginan Anda.
Comment,Komentar
Comment:,Komentar:
Configure Wishlist Item,Mengkonfigurasi Item Daftar Keinginan
Configured Price:,Mengkonfigurasi Harga:
Customer My Account My Wishlist,Pelanggan Akun saya Daftar keinginan saya
Customer My Account Wishlist Sharing Form,Pelanggan daftar keinginan akun saya berbagi dari
Customer Shared Wishlist View,Pelanggan berbagi tampilan daftar keinginan
Date Added,Tanggal ditambahkan
Days in Wishlist,Hari dalam daftar keinginan
Display Wishlist Summary,Tampilkan Ringkasan Daftar keinginan
Edit,Sunting
Email Sender,Email pengirim
Email Template,Kerangka Email
Email address can\'t be empty.,Alamat email bisa/tidak bisa kosong
"Email addresses, separated by commas","Alamat Email, dipisahkan oleh koma"
Enabled,Aktif
General Options,Pilihan umum
Go to Wishlist,Pergi ke daftar keinginan
Helper for wishlist options rendering doesn't implement required interface.,Bantuan untuk penyerahan Daftar Keinginan opsi tidak mengimplementasikan antarmuka yang diperlukan.
Last Added Items,Barang yang ditambahkan terakhir
Message,Pesan
My Wishlist,Daftar keinginan saya
My Wishlist (%d item),Daftar keinginan saya (%d item)
My Wishlist (%d items),Daftar keinginan saya(%d items)
My Wishlist <small>(%d)</small>,Daftar keinginan saya<small>(%d)</small>
My Wishlist Link,Tautan Daftar keinginan saya
Options Details,Detil pilihan
Out of stock,Habis
"Please enter a valid email addresses, separated by commas. For example johndoe@domain.com, johnsmith@domain.com.","Silakan masukan alamat email yang berlaku, dipisahkan oleh koma. Sebagai contoh :johndoe@domain.com, johnsmith@domain.com."
Please input a valid email address.,Silakan masukan alamat email yang berlaku:
"Please, enter your comments...","Silakan, ,masukan komentar Anda�"
Product,Produk
Product(s) %s have required options. Each of them can be added to cart separately only.,Produk %s memiliki pilihan yang diperlukan. Masing-masing dapat ditambahkan ke keranjang secara terpisah saja.
RSS Feed,RSS Feed
RSS link to %s's wishlist,Tautan RSS ke daftar keingingan %s
Remove Item,Barang dibuang
Share Wishlist,Berbagi daftar keinginan
Share Your Wishlist,Berbagi daftar keinginan Anda
Sharing Information,Berbagi informasi
This product(s) is currently out of stock,Produk ini sekarang habis
Unable to add the following product(s) to shopping cart: %s.,Tidak dapat menambahkan produk ke keranjang belanja berikut: %s.
Update Wishlist,Perbaruan daftar keinginan
User description,Deskripsi pengguna
View Details,Lihat detil
View Product,Lihat produk
Wishlist,Daftar keinginan
Wishlist Section,Bagian daftar keinginan
Wishlist Sharing,Berbagi daftar keinginan
Wishlist is empty now.,Daftar keinginan Anda kosong.
You have no items in your wishlist.,Daftar keinginan Anda masih kosong.
You input not valid email address.,Anda salah memasukkan alamat email.
Your Wishlist was successfully shared,Daftar keinginan Anda telah dibagi
"My Wishlist - <a href=""%s"">%d Item(s)</a>","Daftar keinginan Saya - <a href=""%s"">%d Produk</a>"
