"Actions","Aksi"
"Add Answer","Tambah Jawaban"
"Add New Answer","Tambah Jawaban Baru"
"Add New Poll","Tambah Pol Baru"
"Answer Title","Judul Jawaban"
"Answer Title:","Judul Jawaban:"
"Answer with the same title in this poll","Jawaban dengan judul yang sama sudah ada di pol"
"Are you sure you want to delete it?","Apakah anda yakin menghapus?"
"Assigned Answers","Jawaban yang Diberikan"
"Closed","Ditutup"
"Community Poll","Polling Pendapat"
"Date Closed","Tanggal Ditutup"
"Date Posted","Tanggal Dipost"
"Delete","Hapus"
"Delete Answer","Hapus Jawaban"
"Delete Poll","Hapus Pol"
"Disallow Voting in a Poll Multiple Times from Same IP-address","Disallow Voting in a Poll Multiple Times from Same IP-address"
"Edit Answer '%s'","Ubah Jawaban '%s'"
"Edit Poll '%s'","Ubah Pol '%s'"
"Edit Poll Answer","Ubah Jawaban Pol"
"ID","ID"
"Invalid Answer.","Invalid Answer."
"New Poll","Pol Baru"
"Number of Responses","Banyak Respon"
"Open","Terbuka"
"Poll Answers","Jawaban Pol"
"Poll Information","Informasi Pol"
"Poll Manager","Pengatur Pol"
"Poll Question","Pertanyaan Pol"
"Poll information","Informasi pol"
"Poll with the same question","Pol dengan jawaban yang sama"
"Polls","Polls"
"Save Answer","Simpan Jawaban"
"Save Poll","Simpan Pol"
"Status","Status"
"The answer has been saved.","The answer has been saved."
"The poll does not exist.","The poll does not exist."
"Unable to find an answer to delete.","Unable to find an answer to delete."
"Visible In","Nampak Di"
"Vote","Pilih"
"Votes Count","Perhitungan Suara"
"Votes Count:","Perhitungan Suara:"
