%s already exist,%s Telah ada
%s already exists,%s telah ada
-- Please Select --,Silakan pilih
"<strong style=""color:red"">Warning!</strong> When using CDN, in some cases JavaScript may not run properly if CDN is not in your subdomain","<strong style=""color:red"">Warning!</strong> ketika menggunakan CDN, dalam beberapa kasus JavaScript mungkin tidak berjalan dengan baik jika CDN tidak dalam subdomain anda"
A category object is required for determining the product request path.,Sebuah objek diperlukan untuk kategori menentukan jalur permintaan produk.
Add Block Names to Hints,Tambahkan Blok Nama untuk petunjuk
Add Secret Key to URLs,Tambahkan kunci rahasia ke URLs
Add Store Code to Urls,Tambahkan kode toko ke URLs
Admin,Admin
Admin Base URL,Admin Berdasarkan URL
Admin User Emails,Admin Email Pengguna
Advanced,Lanjutan
"After selecting a new media storage location, press the Synchronize button
                                to transfer all media to that location. Media will not be available in the new
                                location until the synchronization process is complete.","Setelah memilih lokasi media penyimpanan baru, tekan tombol synchronize untuk mentransfer semua media ke lokasi tersebut. Media tiadk akan tersediadi lokas baru sampai prose sinkronisasi selesai."
Allow Countries,Ijinkan negara
Allow Symlinks,Diperbolehkan symlink
Allowed IPs (comma separated),Diperbolehkan IPs (dipisahkan koma)
"Allowed file types: ICO, PNG, GIF, JPEG, APNG, SVG. Not all browsers support all these formats!","Diperbolehkan Jenis file: ICO, PNG, GIF, JPEG, APNG, SVG. Tidak semua browser mendukung semua format ini!"
Allows customers to stay logged in when switching between different stores.,Memungkinkan pelanggan untuk tetap masuk bila beralih di antara toko yang berbeda.
"Alternative text for next link in pagination menu. If empty, default arrow image will used.","Alternatif teks untuk link berikutnya di menu nomor halaman. Jika kosong, standar gambar panah akan digunakan."
"Alternative text for previous link in pagination menu. If empty, default arrow image will used.","Alternatif teks untuk link sebelumnya dalam menu nomor halaman. Jika kosong, standar gambar panah akan digunakan."
An error occurred while saving. Please review the error log.,Terjadi galat saat menyimpan. Harap tinjau log kesalahan.
Anchor Text for Next,Pembawa Teks untuk Selanjutnya
Anchor Text for Previous,Pembawa Teks untuk Sebelumnya
Anchor symbol (#) is not supported in request path,Pembawa simbol (#) tidak didukung di jalur permintaan
Anchor symbol (#) is not supported in url rewrite suffix,Pembawa symbol (#) tidak di dukung dalam akhiran penulisan ulang url
Are you sure?,Apakah Anda yakin?
Auto-redirect to Base URL,Otomatis mengarahkan ke URL Dasar
Back,Kembali
Backup Options,Pilihan Cadangan
Base JavaScript URL,Dasar URL JavaScript
Base Link URL,Tautan dasar URL
Base Media URL,Media Dasar URL
Base Skin URL,Lapisan Dasar URL
Base URL,Dasar URL
Before modifying the store view code please make sure that it is not used in index.php,Sebelum memodifikasi kode tampilan toko pastikan bahwa itu tidak digunakan dalam index.php
Before modifying the website code please make sure that it is not used in index.php,Sebelum memodifikasi kode situs pastikan bahwa itu tidak digunakan dalam index.php
"Block with name ""%s"" already exists","Blok dengan nama ""% s"" sudah ada"
Browser Capabilities Detection,Deteksi Kemampuan Browser
CSS Settings,pengaturan CSS
Cache Storage Management,Pengaturan penyimpanan Cache
Cache storage may contain additional data. Are you sure that you want flush it?,Penyimpanan cache dapat berisi data tambahan. Apakah Anda yakin bahwa Anda ingin mengaliri nya?
Can not create invoice. Order was not found.,Tidak dapat membuat faktur. Pesanan tidak ditemukan.
Can't retrieve request object,Tidak dapat mengambil objek permintaan
Can't retrieve entity config: %s,Tidak bisa mengambil konfigurasi entitas:% s
Cancel,Batal
Cannot Delete Email Template,Tidak bisa Hapus Kerangka Email
Cannot complete this operation from non-admin area.,Tidak dapat menyelesaikan operasi ini dari daerah non-admin.
Cannot retrieve entity config: %s,Tidak bisa mengambil konfigurasi entitas:% s
Card type does not match credit card number.,Jenis kartu tidak mencocokkan nomor kartu kredit.
Code,Kode
Controller file was loaded but class does not exist,Pengontrol file telah dimuat tapi tingkat tidak ada
Cookie Domain,Domain Cookie
Cookie Lifetime,Masa Cookie
Cookie Path,Jalur Cookie
Copyright,Hak cipta
Countries options,Pilihan Negara
Create Store,Membuat toko
Create Store View,Membuat Tampilan Toko
Create Website,Membuat situs
Credit card number does not match credit card type.,Nomor kartu kredit tidak sesuai jenis kartu kredit.
Current Package Name,Nama Paket Saat ini
Custom Admin URL,Admin khusus URL
Custom Design,Desain khusus
Custom Email 1,Email Khususs 1
Custom Email 2,Email Khususs 2
Custom Variables,Variabel khusus
Customer Support,Dukungan Pelanggan
Dashboard,Papan Instrumen
Date From,Tanggal dari
Date To,Tanggal ke
"Date/time format ""%s"" is not supported.","Format Tanggal/waktu ""% s"" tidak didukung."
Debug,men-debug
Default,Standar
Default Description,Deskripsi standar
Default Keywords,Kata sandi standar
Default Pages,Halaman Standar
Default Robots,Robot standar
Default Store,Toko standar
Default Store View,Tampilan standar toko
Default Title,Judul standar
Default country,Standar Negara
Default no-route url,No-route standar url
Default web url,Situs standar URL
Delete,Hapus
Delete Store,Hapus Toko
